Date,Open,High,Low,Close,Adj Close,Volume
2019-07-09,46600.000000,48050.000000,46600.000000,47250.000000,47250.000000,128593
2019-07-10,47400.000000,48300.000000,47300.000000,47350.000000,47350.000000,100932
2019-07-11,48000.000000,48000.000000,46950.000000,47300.000000,47300.000000,94495
2019-07-12,47350.000000,47650.000000,46700.000000,46750.000000,46750.000000,144337
2019-07-15,47400.000000,48050.000000,46500.000000,46700.000000,46700.000000,188360
2019-07-16,46700.000000,46900.000000,45100.000000,45450.000000,45450.000000,239993
2019-07-17,44750.000000,46200.000000,43500.000000,46200.000000,46200.000000,253725
2019-07-18,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-19,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-22,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-23,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-24,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-25,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-26,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-29,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-30,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-07-31,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-08-01,46200.000000,46200.000000,46200.000000,46200.000000,46200.000000,0
2019-08-02,43500.000000,45950.000000,40400.000000,42250.000000,42250.000000,426748
2019-08-05,42600.000000,42600.000000,37550.000000,37700.000000,37700.000000,424871
2019-08-06,36250.000000,37600.000000,35100.000000,36800.000000,36800.000000,353472
2019-08-07,37050.000000,39750.000000,37050.000000,39500.000000,39500.000000,242364
2019-08-08,39450.000000,42500.000000,39100.000000,39700.000000,39700.000000,368073
2019-08-09,39600.000000,39700.000000,37750.000000,38150.000000,38150.000000,249936
2019-08-12,37550.000000,38050.000000,36850.000000,37100.000000,37100.000000,153940
2019-08-13,36600.000000,37050.000000,36050.000000,36100.000000,36100.000000,142683
2019-08-14,36400.000000,37000.000000,35900.000000,36050.000000,36050.000000,93750
2019-08-16,35950.000000,35950.000000,35050.000000,35050.000000,35050.000000,123611
2019-08-19,35300.000000,35600.000000,34950.000000,35200.000000,35200.000000,101241
2019-08-20,35300.000000,35900.000000,35150.000000,35450.000000,35450.000000,107967
2019-08-21,35550.000000,36800.000000,35450.000000,36800.000000,36800.000000,124010
2019-08-22,36700.000000,37050.000000,35600.000000,35650.000000,35650.000000,123529
2019-08-23,35400.000000,35400.000000,34500.000000,34700.000000,34700.000000,117442
2019-08-26,33600.000000,33850.000000,32250.000000,32250.000000,32250.000000,254748
2019-08-27,32700.000000,33250.000000,32550.000000,32600.000000,32600.000000,139564
2019-08-28,32550.000000,33400.000000,32500.000000,33400.000000,33400.000000,102762
2019-08-29,33200.000000,33600.000000,32300.000000,33000.000000,33000.000000,151344
2019-08-30,33300.000000,34000.000000,33000.000000,33800.000000,33800.000000,117761
2019-09-02,33650.000000,34450.000000,33650.000000,34400.000000,34400.000000,84890
2019-09-03,34500.000000,35400.000000,34200.000000,34750.000000,34750.000000,115602
2019-09-04,34650.000000,35250.000000,34600.000000,34950.000000,34950.000000,54121
2019-09-05,35300.000000,35750.000000,35000.000000,35650.000000,35650.000000,101128
2019-09-06,35700.000000,35800.000000,34850.000000,35100.000000,35100.000000,62544
2019-09-09,35150.000000,36650.000000,34950.000000,36450.000000,36450.000000,169367
2019-09-10,36650.000000,37900.000000,36600.000000,37500.000000,37500.000000,189973
2019-09-11,37500.000000,38450.000000,37350.000000,37550.000000,37550.000000,152825
2019-09-16,37700.000000,37800.000000,36750.000000,37750.000000,37750.000000,104970
2019-09-17,37700.000000,37700.000000,37050.000000,37500.000000,37500.000000,95476
2019-09-18,37400.000000,38650.000000,37300.000000,37750.000000,37750.000000,152507
2019-09-19,37800.000000,38300.000000,37400.000000,37600.000000,37600.000000,102094
2019-09-20,37400.000000,37750.000000,37150.000000,37750.000000,37750.000000,63251
2019-09-23,37650.000000,37650.000000,37000.000000,37150.000000,37150.000000,73925
2019-09-24,37000.000000,37750.000000,37000.000000,37200.000000,37200.000000,56646
2019-09-25,37050.000000,37400.000000,36000.000000,36050.000000,36050.000000,95695
2019-09-26,36400.000000,36650.000000,35650.000000,36050.000000,36050.000000,69080
2019-09-27,35850.000000,36350.000000,35700.000000,36200.000000,36200.000000,47750
2019-09-30,35850.000000,36100.000000,34850.000000,35600.000000,35600.000000,90487
2019-10-01,35350.000000,35650.000000,35050.000000,35650.000000,35650.000000,97490
2019-10-02,35000.000000,35300.000000,32950.000000,33250.000000,33250.000000,372249
2019-10-04,33150.000000,33300.000000,31800.000000,32250.000000,32250.000000,288347
2019-10-07,32250.000000,33150.000000,32250.000000,33050.000000,33050.000000,143940
2019-10-08,32950.000000,33450.000000,32550.000000,33200.000000,33200.000000,144693
2019-10-10,33050.000000,33050.000000,32300.000000,32450.000000,32450.000000,115087
2019-10-11,32950.000000,34700.000000,32950.000000,34000.000000,34000.000000,255839
2019-10-14,34800.000000,35900.000000,34500.000000,35550.000000,35550.000000,203878
2019-10-15,35550.000000,35650.000000,34300.000000,34450.000000,34450.000000,181446
2019-10-16,34600.000000,35250.000000,34350.000000,34550.000000,34550.000000,137006
2019-10-17,34650.000000,36200.000000,33250.000000,34000.000000,34000.000000,631833
2019-10-18,34700.000000,34950.000000,33900.000000,34400.000000,34400.000000,136680
2019-10-21,34700.000000,35100.000000,34200.000000,34300.000000,34300.000000,117797
2019-10-22,34300.000000,34500.000000,33750.000000,34100.000000,34100.000000,94400
2019-10-23,34200.000000,34200.000000,33300.000000,33350.000000,33350.000000,89952
2019-10-24,33500.000000,34500.000000,33150.000000,34450.000000,34450.000000,97928
2019-10-25,34650.000000,34850.000000,33900.000000,34200.000000,34200.000000,66739
2019-10-28,34200.000000,34650.000000,34000.000000,34100.000000,34100.000000,61222
2019-10-29,34200.000000,36500.000000,34150.000000,36500.000000,36500.000000,405459
2019-10-30,37300.000000,37900.000000,36500.000000,37400.000000,37400.000000,374051
2019-10-31,36800.000000,37800.000000,36650.000000,37200.000000,37200.000000,152542
2019-11-01,37200.000000,38500.000000,37150.000000,38000.000000,38000.000000,221504
2019-11-04,38500.000000,38600.000000,37650.000000,37950.000000,37950.000000,136441
2019-11-05,38150.000000,38500.000000,37350.000000,37600.000000,37600.000000,135306
2019-11-06,37900.000000,38700.000000,37300.000000,38450.000000,38450.000000,160063
2019-11-07,38450.000000,38600.000000,37050.000000,37300.000000,37300.000000,163554
2019-11-08,37450.000000,37850.000000,36050.000000,37200.000000,37200.000000,196552
2019-11-11,37300.000000,37550.000000,36200.000000,36400.000000,36400.000000,136529
2019-11-12,36600.000000,37050.000000,36000.000000,36950.000000,36950.000000,101160
2019-11-13,36950.000000,37200.000000,36300.000000,36800.000000,36800.000000,61156
2019-11-14,null,null,null,null,null,null
2019-11-15,38000.000000,38250.000000,37500.000000,38150.000000,38150.000000,97742
2019-11-18,38350.000000,38400.000000,37550.000000,38150.000000,38150.000000,83276
2019-11-19,38000.000000,39850.000000,37950.000000,39250.000000,39250.000000,280747
2019-11-20,39500.000000,39550.000000,38550.000000,39350.000000,39350.000000,199510
2019-11-21,39650.000000,40050.000000,37850.000000,39800.000000,39800.000000,215271
2019-11-22,40550.000000,41050.000000,39400.000000,39750.000000,39750.000000,349226
2019-11-25,40800.000000,41000.000000,39400.000000,39400.000000,39400.000000,198895
2019-11-26,40150.000000,40200.000000,39000.000000,40000.000000,40000.000000,123245
2019-11-27,39700.000000,40050.000000,38900.000000,38900.000000,38900.000000,81344
2019-11-28,38950.000000,39250.000000,38000.000000,38050.000000,38050.000000,100556
2019-11-29,38100.000000,39050.000000,38050.000000,39000.000000,39000.000000,121216
2019-12-02,39200.000000,40250.000000,39100.000000,39900.000000,39900.000000,113220
2019-12-03,39800.000000,40250.000000,39300.000000,40000.000000,40000.000000,79914
2019-12-04,39600.000000,39900.000000,38800.000000,38850.000000,38850.000000,68069
2019-12-05,39300.000000,39600.000000,38600.000000,38750.000000,38750.000000,71761
2019-12-06,39000.000000,39050.000000,38050.000000,38500.000000,38500.000000,94683
2019-12-09,38800.000000,38800.000000,37450.000000,37650.000000,37650.000000,87717
2019-12-10,37950.000000,38200.000000,37750.000000,38000.000000,38000.000000,41795
2019-12-11,38000.000000,38100.000000,37350.000000,37450.000000,37450.000000,67851
2019-12-12,37800.000000,38050.000000,37450.000000,37950.000000,37950.000000,54411
2019-12-13,38100.000000,39200.000000,38000.000000,39150.000000,39150.000000,79365
2019-12-16,39300.000000,39300.000000,38650.000000,38700.000000,38700.000000,43823
2019-12-17,38750.000000,39250.000000,38550.000000,39050.000000,39050.000000,53121
2019-12-18,39050.000000,39050.000000,37500.000000,38600.000000,38600.000000,89264
2019-12-19,39000.000000,39150.000000,38650.000000,38800.000000,38800.000000,50084
2019-12-20,38950.000000,38950.000000,38150.000000,38250.000000,38250.000000,53019
2019-12-23,38300.000000,38400.000000,37450.000000,37500.000000,37500.000000,88223
2019-12-24,37800.000000,37900.000000,36600.000000,36650.000000,36650.000000,100242
2019-12-26,36750.000000,37000.000000,36550.000000,36600.000000,36600.000000,104391
2019-12-27,37100.000000,37850.000000,36700.000000,37800.000000,37800.000000,82602
2019-12-30,37800.000000,38550.000000,37750.000000,38550.000000,38550.000000,68230
2020-01-02,38650.000000,39700.000000,38500.000000,39250.000000,39250.000000,137834
2020-01-03,39300.000000,39750.000000,38700.000000,39000.000000,39000.000000,110486
2020-01-06,38150.000000,38800.000000,37650.000000,37800.000000,37800.000000,80750
2020-01-07,38050.000000,41250.000000,37850.000000,40850.000000,40850.000000,355877
2020-01-08,40800.000000,41200.000000,39450.000000,40000.000000,40000.000000,249364
2020-01-09,41050.000000,43100.000000,41050.000000,42700.000000,42700.000000,342791
2020-01-10,42750.000000,43450.000000,42150.000000,42950.000000,42950.000000,170529
2020-01-13,43050.000000,44250.000000,43000.000000,43250.000000,43250.000000,246202
2020-01-14,43850.000000,43850.000000,42300.000000,42750.000000,42750.000000,187157
2020-01-15,44050.000000,44150.000000,42900.000000,43550.000000,43550.000000,254791
2020-01-16,43500.000000,43950.000000,43000.000000,43550.000000,43550.000000,135291
2020-01-17,43250.000000,43450.000000,41850.000000,42050.000000,42050.000000,234252
2020-01-20,42200.000000,42500.000000,40500.000000,40750.000000,40750.000000,240116
2020-01-21,40800.000000,41500.000000,40200.000000,41100.000000,41100.000000,159033
2020-01-22,41100.000000,42500.000000,41000.000000,41900.000000,41900.000000,195714
2020-01-23,41950.000000,42550.000000,41350.000000,42100.000000,42100.000000,161294
2020-01-28,40650.000000,40650.000000,38250.000000,38550.000000,38550.000000,363247
2020-01-29,38950.000000,41500.000000,38800.000000,40600.000000,40600.000000,231895
2020-01-30,40950.000000,41500.000000,39700.000000,40500.000000,40500.000000,143350
2020-01-31,40300.000000,40850.000000,39200.000000,39200.000000,39200.000000,107612
2020-02-03,38200.000000,40000.000000,37600.000000,39700.000000,39700.000000,174889
2020-02-04,40000.000000,40350.000000,39500.000000,40150.000000,40150.000000,78766
2020-02-05,40400.000000,41050.000000,39650.000000,40150.000000,40150.000000,84977
2020-02-06,39950.000000,40200.000000,39550.000000,40000.000000,40000.000000,118269
2020-02-07,40100.000000,40200.000000,38900.000000,39250.000000,39250.000000,116879
2020-02-10,39250.000000,41000.000000,39250.000000,40600.000000,40600.000000,177787
2020-02-11,41100.000000,41350.000000,40100.000000,40400.000000,40400.000000,98051
2020-02-12,39900.000000,42600.000000,39550.000000,42600.000000,42600.000000,421701
2020-02-13,42700.000000,43750.000000,41850.000000,42300.000000,42300.000000,296725
2020-02-14,42400.000000,43450.000000,42150.000000,42550.000000,42550.000000,170715
2020-02-17,42500.000000,43400.000000,42400.000000,42550.000000,42550.000000,118749
2020-02-18,42500.000000,42500.000000,40450.000000,40750.000000,40750.000000,128985
2020-02-19,40550.000000,41150.000000,39300.000000,39850.000000,39850.000000,130460
2020-02-20,39900.000000,40100.000000,38800.000000,39250.000000,39250.000000,130741
2020-02-21,38650.000000,40150.000000,38500.000000,39250.000000,39250.000000,188563
2020-02-24,38000.000000,38450.000000,37300.000000,37300.000000,37300.000000,137041
2020-02-25,36800.000000,38150.000000,36400.000000,37850.000000,37850.000000,115541
2020-02-26,36850.000000,37800.000000,36500.000000,37450.000000,37450.000000,86732
2020-02-27,37800.000000,37850.000000,36600.000000,36950.000000,36950.000000,96842
2020-02-28,35800.000000,35850.000000,33850.000000,35050.000000,35050.000000,185138
2020-03-02,34700.000000,35150.000000,32450.000000,35150.000000,35150.000000,303176
2020-03-03,35850.000000,36250.000000,35250.000000,35550.000000,35550.000000,124989
2020-03-04,35100.000000,35950.000000,34100.000000,35550.000000,35550.000000,96018
2020-03-05,35950.000000,37050.000000,35650.000000,36600.000000,36600.000000,116380
2020-03-06,36100.000000,36700.000000,35200.000000,35500.000000,35500.000000,103032
2020-03-09,35500.000000,35500.000000,35500.000000,35500.000000,35500.000000,0
2020-03-10,32600.000000,33500.000000,32100.000000,33500.000000,33500.000000,152137
2020-03-11,33750.000000,33750.000000,31700.000000,31950.000000,31950.000000,126902
2020-03-12,31700.000000,31700.000000,28500.000000,28650.000000,28650.000000,410356
2020-03-13,25800.000000,26650.000000,23500.000000,25300.000000,25300.000000,464927
2020-03-16,25850.000000,27350.000000,25150.000000,26000.000000,26000.000000,299187
2020-03-17,24100.000000,26100.000000,24100.000000,25600.000000,25600.000000,134993
2020-03-18,25600.000000,27350.000000,25050.000000,25500.000000,25500.000000,186169
2020-03-19,26450.000000,26550.000000,22100.000000,22200.000000,22200.000000,212934
2020-03-20,22200.000000,23800.000000,22050.000000,23550.000000,23550.000000,196624
2020-03-23,22100.000000,22450.000000,20200.000000,20350.000000,20350.000000,253690
2020-03-24,21100.000000,22700.000000,20500.000000,22250.000000,22250.000000,234156
2020-03-25,23200.000000,25300.000000,23200.000000,24950.000000,24950.000000,201281
2020-03-26,25100.000000,26850.000000,24750.000000,26050.000000,26050.000000,173599
2020-03-27,26700.000000,27450.000000,24150.000000,25100.000000,25100.000000,161411
2020-03-30,24350.000000,26000.000000,23950.000000,26000.000000,26000.000000,121072
2020-03-31,26200.000000,26650.000000,26050.000000,26200.000000,26200.000000,116165
2020-04-01,26100.000000,27900.000000,25850.000000,25950.000000,25950.000000,201125
2020-04-02,26100.000000,29200.000000,25600.000000,28300.000000,28300.000000,297291
2020-04-03,28800.000000,30000.000000,28000.000000,29850.000000,29850.000000,158373
2020-04-06,30250.000000,31250.000000,30150.000000,30600.000000,30600.000000,177005
2020-04-07,31150.000000,31250.000000,29700.000000,30100.000000,30100.000000,175988
2020-04-08,30000.000000,30000.000000,29150.000000,29300.000000,29300.000000,190177
2020-04-09,30250.000000,30400.000000,29100.000000,30100.000000,30100.000000,178846
2020-04-10,30350.000000,33650.000000,29300.000000,33200.000000,33200.000000,384724
2020-04-13,33800.000000,35850.000000,32250.000000,34550.000000,34550.000000,854400
2020-04-14,35000.000000,35700.000000,34100.000000,34500.000000,34500.000000,262350
2020-04-16,35000.000000,35500.000000,34300.000000,35450.000000,35450.000000,201291
2020-04-17,36000.000000,36150.000000,34400.000000,35100.000000,35100.000000,201384
2020-04-20,35200.000000,35700.000000,34100.000000,34200.000000,34200.000000,164228
2020-04-21,34450.000000,34450.000000,32000.000000,33400.000000,33400.000000,171548
2020-04-22,32900.000000,34800.000000,32200.000000,34600.000000,34600.000000,183141
2020-04-23,35250.000000,35750.000000,34750.000000,34750.000000,34750.000000,257897
2020-04-24,34850.000000,35000.000000,33500.000000,33750.000000,33750.000000,102180
2020-04-27,34000.000000,35350.000000,34000.000000,35000.000000,35000.000000,160889
2020-04-28,35200.000000,36400.000000,34700.000000,35450.000000,35450.000000,350867
2020-04-29,35750.000000,35850.000000,34800.000000,35050.000000,35050.000000,109284
2020-05-04,34250.000000,34600.000000,33300.000000,33400.000000,33400.000000,132929
2020-05-06,33850.000000,35400.000000,33850.000000,35250.000000,35250.000000,170134
2020-05-07,35250.000000,35250.000000,34500.000000,34700.000000,34700.000000,78157
2020-05-08,34750.000000,35100.000000,34050.000000,34200.000000,34200.000000,164273
2020-05-11,33650.000000,33650.000000,32850.000000,32900.000000,32900.000000,285383
2020-05-12,33000.000000,33250.000000,31600.000000,31850.000000,31850.000000,244976
2020-05-13,31450.000000,32700.000000,30700.000000,31950.000000,31950.000000,161934
2020-05-14,31500.000000,32350.000000,30400.000000,30400.000000,30400.000000,184011
2020-05-15,30850.000000,31050.000000,30200.000000,30500.000000,30500.000000,92949
2020-05-18,30600.000000,30800.000000,30000.000000,30400.000000,30400.000000,86073
2020-05-19,31050.000000,32650.000000,31050.000000,32150.000000,32150.000000,268272
2020-05-20,32100.000000,32550.000000,31700.000000,32200.000000,32200.000000,114904
2020-05-21,32700.000000,32750.000000,31700.000000,32050.000000,32050.000000,145430
2020-05-22,32050.000000,32100.000000,30700.000000,30850.000000,30850.000000,119294
2020-05-25,30900.000000,31250.000000,30700.000000,30950.000000,30950.000000,68050
2020-05-26,30900.000000,31650.000000,30850.000000,31500.000000,31500.000000,93791
2020-05-27,31800.000000,31850.000000,31250.000000,31500.000000,31500.000000,79872
2020-05-28,31750.000000,31800.000000,30250.000000,30800.000000,30800.000000,112454
2020-05-29,30550.000000,30550.000000,29800.000000,29800.000000,29800.000000,163467
2020-06-01,30100.000000,30650.000000,30100.000000,30300.000000,30300.000000,76831
